                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2833,                 2.7529,                 1.6267,                0.58375,                0.35543,                0.36531,                0.19047,                 1.4274,                 1.9952,                 2.0339,             0.00030181,             0.00030181,             0.00030181
                      2,                 1.2856,                  2.086,                 1.5869,                0.27973,                0.39286,                0.30359,                0.16067,                 1.7686,                 2.1816,                 2.1983,             0.00059882,             0.00059882,             0.00059882
                      3,                 1.2878,                 1.9142,                 1.5801,                0.38769,                0.57507,                0.46192,                0.25476,                 1.4771,                 1.6959,                 2.0013,             0.00088983,             0.00088983,             0.00088983
                      4,                 1.2658,                 1.8135,                 1.5663,                0.57133,                0.44867,                0.51898,                0.29065,                 1.3965,                 1.6193,                 1.9048,               0.000882,               0.000882,               0.000882
                      5,                 1.2156,                 1.6905,                 1.5297,                0.56881,                0.42511,                 0.4874,                0.28638,                 1.3679,                 1.8315,                 1.8806,               0.000873,               0.000873,               0.000873
                      6,                 1.1936,                 1.5994,                 1.5077,                 0.4451,                0.59864,                0.53598,                 0.3281,                 1.2812,                 1.4998,                 1.7689,               0.000864,               0.000864,               0.000864
                      7,                 1.1945,                  1.574,                 1.5107,                0.55407,                0.56905,                0.56614,                0.33769,                 1.3213,                 1.4503,                 1.7825,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.1694,                 1.5311,                 1.4892,                0.52321,                0.60344,                0.55564,                 0.3371,                 1.3239,                 1.4848,                 1.8442,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.1517,                 1.4845,                 1.4845,                0.72848,                0.55515,                0.63707,                0.41173,                 1.1594,                 1.5358,                 1.6699,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.1293,                  1.415,                 1.4596,                0.52983,                0.69705,                0.63564,                0.41436,                 1.1811,                 1.3329,                  1.698,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.1215,                 1.4077,                 1.4525,                0.54918,                0.57671,                0.53897,                0.34438,                 1.2469,                 1.4285,                 1.7546,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.1086,                 1.3556,                 1.4411,                0.58693,                0.66377,                0.64803,                0.42543,                 1.1561,                 1.3138,                 1.6436,             0.00081001,             0.00081001,             0.00081001
                     13,                  1.089,                 1.3182,                 1.4308,                0.70088,                0.55504,                0.61794,                 0.4143,                 1.1448,                 1.2526,                 1.6439,             0.00080101,             0.00080101,             0.00080101
                     14,                  1.096,                 1.2935,                 1.4263,                0.56822,                0.62077,                0.57648,                0.37198,                 1.2625,                 1.3822,                 1.7553,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.0791,                 1.2585,                 1.4206,                0.62688,                0.62515,                0.61889,                0.36027,                 1.3901,                 1.4373,                 1.8991,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.0829,                 1.2406,                 1.4206,                0.62524,                0.67094,                0.66043,                 0.4345,                 1.1466,                 1.2025,                 1.6438,             0.00077401,             0.00077401,             0.00077401
                     17,                 1.0605,                 1.2206,                 1.4064,                0.72198,                0.65344,                0.70775,                0.43601,                 1.2524,                 1.3076,                 1.7655,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.0573,                  1.206,                 1.4045,                0.65083,                0.62261,                0.66716,                0.43087,                 1.1625,                  1.272,                 1.6519,             0.00075602,             0.00075602,             0.00075602
                     19,                 1.0462,                 1.1724,                 1.3888,                0.64351,                0.65034,                 0.6654,                0.41477,                 1.2325,                 1.2907,                 1.7447,             0.00074702,             0.00074702,             0.00074702
                     20,                 1.0422,                 1.1604,                  1.394,                0.62468,                0.69822,                0.67634,                0.39835,                 1.1646,                 1.2492,                 1.6272,             0.00073802,             0.00073802,             0.00073802
                     21,                 1.0449,                 1.1777,                 1.3911,                0.65432,                0.70596,                 0.7202,                0.46805,                 1.1429,                 1.1931,                 1.6213,             0.00072902,             0.00072902,             0.00072902
                     22,                 1.0271,                 1.1557,                 1.3785,                 0.7232,                0.62873,                0.68821,                0.44397,                 1.1831,                 1.1738,                 1.6856,             0.00072002,             0.00072002,             0.00072002
                     23,                  1.017,                   1.12,                  1.372,                0.75635,                0.62111,                0.70837,                0.46652,                 1.1412,                   1.19,                  1.647,             0.00071102,             0.00071102,             0.00071102
                     24,                 1.0162,                  1.103,                 1.3675,                0.67633,                0.72426,                0.72947,                0.47668,                 1.1972,                 1.0675,                  1.686,             0.00070202,             0.00070202,             0.00070202
                     25,                 1.0194,                 1.0959,                 1.3641,                0.66868,                0.71573,                0.72124,                0.45522,                 1.1562,                 1.1655,                 1.6408,             0.00069302,             0.00069302,             0.00069302
                     26,                 1.0136,                 1.0834,                 1.3665,                  0.728,                0.75416,                0.77178,                0.53123,                 1.0778,                 1.1214,                 1.5575,             0.00068402,             0.00068402,             0.00068402
                     27,                 1.0008,                 1.0662,                 1.3552,                0.77636,                0.70467,                0.75639,                0.51511,                 1.0516,                 1.0529,                 1.5482,             0.00067502,             0.00067502,             0.00067502
                     28,                0.99667,                  1.053,                 1.3487,                0.72519,                0.65776,                0.71075,                0.46503,                 1.2173,                 1.1291,                 1.7422,             0.00066602,             0.00066602,             0.00066602
                     29,                0.98486,                 1.0431,                 1.3425,                0.66767,                0.66369,                0.70627,                0.47141,                 1.1293,                 1.1842,                 1.6312,             0.00065703,             0.00065703,             0.00065703
                     30,                0.97965,                 1.0427,                 1.3415,                0.77209,                0.71145,                0.75277,                0.49756,                 1.1064,                 1.0483,                 1.5945,             0.00064803,             0.00064803,             0.00064803
                     31,                0.98387,                 1.0353,                 1.3444,                0.70017,                0.66165,                0.69408,                0.44877,                 1.2193,                 1.1628,                 1.6972,             0.00063903,             0.00063903,             0.00063903
                     32,                 0.9665,                 1.0113,                 1.3348,                 0.7761,                0.65854,                 0.7609,                0.50792,                 1.1422,                 1.0573,                 1.6424,             0.00063003,             0.00063003,             0.00063003
                     33,                0.95808,                0.99107,                 1.3245,                0.77328,                0.63004,                 0.6975,                0.46509,                 1.1682,                 1.1714,                 1.6851,             0.00062103,             0.00062103,             0.00062103
                     34,                 0.9528,                0.99486,                 1.3194,                0.77577,                0.66745,                0.73556,                0.48088,                 1.1379,                  1.185,                 1.6484,             0.00061203,             0.00061203,             0.00061203
                     35,                0.95834,                0.97538,                 1.3248,                0.66754,                0.72231,                0.72693,                0.46498,                 1.2454,                 1.1844,                 1.7592,             0.00060303,             0.00060303,             0.00060303
                     36,                 0.9558,                0.96154,                 1.3194,                0.76562,                0.70122,                0.74738,                0.51127,                 1.1232,                  1.052,                  1.623,             0.00059403,             0.00059403,             0.00059403
                     37,                 0.9551,                0.96642,                 1.3244,                0.74953,                0.68314,                0.72495,                0.48866,                 1.1097,                 1.1281,                 1.6239,             0.00058503,             0.00058503,             0.00058503
                     38,                0.94968,                0.94717,                 1.3145,                0.67786,                0.71309,                 0.7208,                0.47386,                 1.1206,                 1.1485,                 1.6295,             0.00057603,             0.00057603,             0.00057603
                     39,                0.95083,                0.94591,                 1.3243,                0.77826,                0.70072,                0.77032,                0.51435,                 1.1711,                 1.0406,                  1.676,             0.00056703,             0.00056703,             0.00056703
                     40,                0.94465,                0.94249,                 1.3219,                0.75203,                 0.6635,                 0.7244,                0.47835,                 1.1314,                 1.1471,                 1.6216,             0.00055804,             0.00055804,             0.00055804
                     41,                0.93952,                0.94286,                 1.3116,                0.76316,                0.66165,                0.71587,                0.47963,                 1.1811,                  1.083,                 1.7024,             0.00054904,             0.00054904,             0.00054904
                     42,                0.92183,                0.91592,                 1.2988,                0.69219,                0.73848,                0.75225,                0.50082,                 1.1924,                 1.0949,                 1.7243,             0.00054004,             0.00054004,             0.00054004
                     43,                 0.9217,                0.91595,                 1.2988,                0.76773,                0.65561,                0.73607,                  0.498,                 1.0962,                 1.0564,                  1.601,             0.00053104,             0.00053104,             0.00053104
                     44,                0.93156,                0.93702,                 1.3039,                 0.6665,                0.76902,                0.77659,                0.50003,                 1.1379,                 1.0286,                 1.6503,             0.00052204,             0.00052204,             0.00052204
                     45,                0.91957,                0.89233,                 1.2968,                0.74861,                0.69245,                0.70767,                0.47789,                 1.0537,                 1.1089,                  1.554,             0.00051304,             0.00051304,             0.00051304
                     46,                0.90672,                0.89039,                 1.2887,                0.68517,                0.71278,                0.72059,                0.49302,                 1.1394,                  1.112,                 1.6254,             0.00050404,             0.00050404,             0.00050404
                     47,                0.90759,                0.88808,                 1.2877,                0.68093,                0.78319,                0.76351,                  0.523,                 1.1366,                 1.0256,                 1.6591,             0.00049504,             0.00049504,             0.00049504
                     48,                0.91336,                 0.8893,                 1.2917,                0.78824,                0.69375,                0.71959,                0.47505,                 1.2025,                 1.0543,                 1.6964,             0.00048604,             0.00048604,             0.00048604
                     49,                0.90683,                 0.8821,                 1.2858,                0.80043,                0.68194,                0.74644,                0.49945,                 1.1396,                 1.0921,                  1.623,             0.00047704,             0.00047704,             0.00047704
                     50,                0.89637,                0.87282,                 1.2784,                0.76486,                0.69467,                0.73428,                0.49088,                 1.1597,                 1.0572,                 1.7016,             0.00046804,             0.00046804,             0.00046804
                     51,                0.89187,                0.86591,                 1.2745,                0.77997,                0.67273,                0.75302,                0.51215,                 1.0484,                  1.037,                 1.5622,             0.00045904,             0.00045904,             0.00045904
                     52,                0.89262,                0.86309,                 1.2758,                0.67387,                0.80028,                0.76445,                0.51876,                 1.0978,                 1.0303,                 1.6192,             0.00045005,             0.00045005,             0.00045005
                     53,                0.89344,                0.86125,                 1.2808,                0.74793,                0.75432,                0.75208,                  0.494,                 1.1119,                 1.0585,                 1.6124,             0.00044105,             0.00044105,             0.00044105
                     54,                0.88416,                0.83843,                 1.2715,                0.81339,                0.64838,                0.73481,                0.50037,                 1.1568,                 1.1301,                 1.6516,             0.00043205,             0.00043205,             0.00043205
                     55,                0.88334,                0.84685,                 1.2682,                0.74386,                0.75105,                0.77767,                0.50159,                 1.1443,                 1.0574,                 1.6366,             0.00042305,             0.00042305,             0.00042305
                     56,                0.85695,                0.82331,                 1.2567,                0.73556,                0.72315,                0.74165,                0.49423,                 1.1268,                 1.0057,                 1.6234,             0.00041405,             0.00041405,             0.00041405
                     57,                0.85774,                 0.8074,                 1.2521,                0.76467,                0.69851,                0.75477,                  0.498,                 1.1291,                 1.0595,                 1.6346,             0.00040505,             0.00040505,             0.00040505
                     58,                0.86788,                0.82002,                 1.2615,                0.73385,                0.68625,                0.73589,                0.47113,                 1.1745,                 1.1091,                 1.6872,             0.00039605,             0.00039605,             0.00039605
                     59,                0.86855,                0.82465,                 1.2612,                0.72601,                0.77101,                0.75607,                0.49977,                 1.1017,                 1.0518,                 1.5976,             0.00038705,             0.00038705,             0.00038705
                     60,                0.86677,                  0.811,                 1.2594,                0.78136,                0.73474,                0.77732,                0.51797,                 1.0914,                 1.0285,                 1.6282,             0.00037805,             0.00037805,             0.00037805
