                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3224,                 2.1976,                  1.645,                0.34396,                0.41317,                0.33361,                0.17231,                 1.5169,                 2.1968,                 2.0594,             0.00030181,             0.00030181,             0.00030181
                      2,                 1.4057,                 2.0154,                 1.6933,                 0.3593,                0.34392,                0.18998,                0.09887,                 2.0082,                 2.9307,                 2.4076,             0.00059882,             0.00059882,             0.00059882
                      3,                 1.3804,                 1.9497,                 1.6713,                0.36621,                0.40052,                0.36259,                0.20682,                 1.6096,                 2.0626,                  2.127,             0.00088983,             0.00088983,             0.00088983
                      4,                 1.3426,                  1.865,                 1.6462,                0.51857,                0.40748,                0.42302,                0.25782,                 1.3616,                 1.8969,                 1.8808,               0.000882,               0.000882,               0.000882
                      5,                 1.2619,                  1.731,                 1.5828,                 0.5319,                 0.5738,                0.54198,                0.33064,                  1.339,                 1.5364,                 1.8454,               0.000873,               0.000873,               0.000873
                      6,                 1.2365,                 1.6331,                  1.558,                0.65077,                0.48355,                0.57904,                0.36178,                 1.3335,                   1.58,                 1.8508,               0.000864,               0.000864,               0.000864
                      7,                 1.2145,                 1.5937,                 1.5432,                 0.5091,                0.57061,                 0.5262,                0.32418,                 1.2913,                 1.4384,                 1.8064,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.1897,                 1.5347,                 1.5206,                0.61305,                0.58595,                0.60684,                0.39539,                 1.2651,                 1.3278,                 1.7688,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.1565,                 1.4647,                 1.4961,                0.48007,                0.51859,                0.44715,                0.25263,                 1.3563,                 1.9904,                 1.8354,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.1305,                 1.4106,                 1.4727,                0.53425,                0.68736,                0.61661,                0.37928,                 1.1944,                 1.3189,                 1.7088,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.1201,                 1.3949,                 1.4679,                0.59438,                0.65998,                0.65309,                0.43264,                 1.1626,                 1.1499,                 1.6672,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.1082,                 1.3533,                 1.4552,                0.60222,                0.63495,                0.64525,                0.43046,                 1.0825,                 1.1778,                 1.5896,             0.00081001,             0.00081001,             0.00081001
                     13,                  1.086,                 1.3013,                 1.4352,                0.70363,                0.65236,                 0.6883,                0.47533,                 1.1165,                 1.1098,                 1.6338,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.0909,                 1.2824,                 1.4368,                0.59942,                0.69521,                 0.6619,                0.44127,                 1.2022,                 1.2136,                 1.7233,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.0741,                 1.2527,                 1.4263,                0.63109,                0.66999,                0.66287,                0.44405,                 1.1323,                 1.1547,                 1.6239,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.0729,                 1.2166,                 1.4237,                0.61864,                0.64773,                0.66079,                 0.4531,                 1.1474,                  1.155,                 1.6149,             0.00077401,             0.00077401,             0.00077401
                     17,                  1.051,                 1.1966,                 1.4106,                 0.6974,                0.66699,                0.70407,                0.46786,                 1.1307,                 1.1479,                 1.6312,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.0434,                 1.1922,                 1.4037,                 0.6723,                0.65962,                0.65129,                0.42831,                 1.2694,                 1.2035,                 1.7671,             0.00075602,             0.00075602,             0.00075602
                     19,                 1.0337,                 1.1498,                 1.3922,                0.73595,                  0.624,                0.66502,                0.43883,                 1.1133,                 1.1497,                 1.6264,             0.00074702,             0.00074702,             0.00074702
                     20,                 1.0258,                 1.1368,                 1.3932,                 0.6877,                0.61725,                0.66894,                0.44275,                  1.085,                  1.161,                 1.6018,             0.00073802,             0.00073802,             0.00073802
                     21,                 1.0202,                 1.1173,                 1.3836,                0.72845,                 0.6937,                0.76059,                 0.5375,                 1.0417,                 1.0351,                 1.5453,             0.00072902,             0.00072902,             0.00072902
                     22,                 1.0072,                 1.0971,                 1.3745,                0.72756,                0.69092,                0.68744,                0.46696,                 1.0815,                  1.053,                 1.5915,             0.00072002,             0.00072002,             0.00072002
                     23,                 1.0096,                 1.0745,                 1.3736,                0.76683,                0.68155,                 0.7342,                0.51403,                 1.0435,                 1.0257,                 1.5432,             0.00071102,             0.00071102,             0.00071102
                     24,                0.99292,                  1.047,                 1.3585,                0.79996,                0.65116,                0.77834,                0.51258,                 1.1029,                 1.0067,                  1.615,             0.00070202,             0.00070202,             0.00070202
                     25,                0.99086,                 1.0367,                 1.3552,                0.67318,                0.63411,                0.66803,                0.45807,                  1.037,                 1.1151,                 1.5494,             0.00069302,             0.00069302,             0.00069302
                     26,                0.98728,                 1.0318,                 1.3545,                 0.8143,                0.62091,                 0.7177,                 0.4906,                 1.0731,                 1.0536,                 1.5685,             0.00068402,             0.00068402,             0.00068402
                     27,                 0.9783,                 1.0194,                 1.3489,                 0.7613,                0.66514,                0.73946,                0.51052,                 1.0803,                0.98865,                 1.5763,             0.00067502,             0.00067502,             0.00067502
                     28,                0.96898,                0.99999,                 1.3393,                0.65143,                0.71916,                0.69978,                0.47427,                  1.109,                 1.0584,                 1.5844,             0.00066602,             0.00066602,             0.00066602
